"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","38","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_other_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","39","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_mobdev_exists[Chrome]",""
"passed","Mon Nov 21 20:33:16 CET 2022","Mon Nov 21 20:33:16 CET 2022","46","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_project_management_exists[Chrome]",""
"passed","Mon Nov 21 20:33:35 CET 2022","Mon Nov 21 20:33:39 CET 2022","3575","Tests.Unit","test_trainings_trainings_units","Test_Nav_Trainings_Trainings","","","test_get_trainings_trainings_title[Chrome]",""
"passed","Mon Nov 21 20:32:00 CET 2022","Mon Nov 21 20:32:01 CET 2022","811","Tests.Functional","test_login","Test_login","","","test_log_wrong_email[Chrome]",""
"passed","Mon Nov 21 20:33:06 CET 2022","Mon Nov 21 20:33:07 CET 2022","643","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_main_page_button_exists[Chrome]",""
"passed","Mon Nov 21 20:33:22 CET 2022","Mon Nov 21 20:33:24 CET 2022","1918","Tests.Unit","test_trainings_projectmanagement_units","Test_Trainings_Projectmanagement_Units","","","test_get_trainings_projectmanagement_title[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","40","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_exists[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","44","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_comp_man_sap_exists[Chrome]",""
"passed","Mon Nov 21 20:32:57 CET 2022","Mon Nov 21 20:32:58 CET 2022","726","Tests.Unit","test_e_learning_units","Test_Nav_E_Learning","","","test_hyper_link_mentored_exists[Chrome]",""
